Product;Age;Gender;Education;MaritalStatus;Usage;Fitness;Income;Miles
TM195;18;Male;14;Single;3;4;29562,5;112
TM195;19;Male;15;Single;2;3;31836,5;75
TM195;19;Female;14;Partnered;4;3;30699,5;66
TM195;19;Male;12;Single;3;3;32973,5;85
TM195;20;Male;13;Partnered;4;2;35247,5;47
TM195;20;Female;14;Partnered;3;3;32973,5;66
TM195;21;Female;14;Partnered;3;3;35247,5;75
TM195;21;Male;13;Single;3;3;32973,5;85
TM195;21;Male;15;Single;5;4;35247,5;141
TM195;21;Female;15;Partnered;2;3;37521,5;85
TM195;22;Male;14;Single;3;3;36384,5;85
TM195;22;Female;14;Partnered;3;2;35247,5;66
TM195;22;Female;16;Single;4;3;36384,5;75
TM195;22;Female;14;Single;3;3;35247,5;75
TM195;23;Male;16;Partnered;3;1;38658,5;47
TM195;23;Male;16;Partnered;3;3;40932,5;75
TM195;23;Female;14;Single;2;3;34110,5;103
TM195;23;Male;16;Partnered;4;3;39795,5;94
TM195;23;Female;16;Single;4;3;38658,5;113
TM195;23;Female;15;Partnered;2;2;34110,5;38
TM195;23;Male;14;Single;4;3;38658,5;113
TM195;23;Male;16;Single;4;3;40932,5;94
TM195;;Female;16;Single;4;3;42069,5;94
TM195;;Female;16;Partnered;5;5;44343,5;188
TM195;;Male;14;Single;2;3;45480,5;113
TM195;;Male;13;Partnered;3;2;42069,5;47
TM195;;Female;16;Single;4;3;46617,5;75
TM195;;Female;14;Partnered;3;3;48891,5;75
TM195;;Male;14;Partnered;2;3;45480,5;56
TM195;;Female;14;Partnered;2;2;53439,5;47
TM195;;Female;14;Partnered;3;3;39795,5;85
TM195;;Male;16;Single;3;4;40932,5;113
TM195;;Female;16;Partnered;2;2;40932,5;47
TM195;;Male;16;Single;3;3;43206,5;85
TM195;;Female;14;Partnered;3;4;44343,5;113
TM195;;Female;16;Partnered;4;3;52302,5;113
TM195;;Male;16;Partnered;2;2;53439,5;47
TM195;;Male;16;Partnered;3;3;51165,5;85
TM195;;Female;16;Single;3;3;36384,5;66
TM195;;Male;16;Partnered;4;4;44343,5;132
TM195;;Male;16;Single;3;3;50028,5;85
TM195;;Female;14;Partnered;3;2;45480,5;66
TM195;;Male;16;Single;4;3;54576,5;85
TM195;;Female;14;Partnered;2;3;45480,5;56
TM195;;Female;14;Partnered;2;3;46617,5;56
TM195;;Female;16;Partnered;2;3;52302,5;66
TM195;;Male;14;Single;3;3;52302,5;103
TM195;;Female;14;Partnered;3;3;54576,5;94
TM195;;Male;14;Single;4;3;54576,5;113
TM195;;Female;16;Partnered;3;3;51165,5;56
TM195;;Male;18;Partnered;3;3;68220,5;85
TM195;;Female;14;Partnered;2;2;46617,5;38
TM195;;Female;16;Partnered;4;3;50028,5;94
TM195;;Male;14;Partnered;4;4;46617,5;141
TM195;;Male;14;Single;3;3;54576,5;85
TM195;;Male;14;Partnered;2;2;54576,5;47
TM195;;Female;14;Single;2;2;45480,5;47
TM195;;Female;14;Single;3;4;46617,5;113
TM195;;Male;14;Partnered;4;3;52302,5;85
TM195;;Female;16;Single;2;2;55713,5;38
TM195;;Female;16;Partnered;3;3;46617,5;85
TM195;;Male;16;Single;4;5;51165,5;169
TM195;;Female;16;Single;2;2;52302,5;66
TM195;;Male;16;Partnered;4;3;48891,5;85
TM195;;Female;16;Partnered;3;3;60261,5;94
TM195;;Female;18;Single;3;3;67083,5;85
TM195;;Male;12;Single;4;3;44343,5;94
TM195;;Female;16;Partnered;3;3;37521,5;85
TM195;;Male;16;Partnered;3;3;46617,5;75
TM195;;Female;14;Partnered;2;3;54576,5;56
TM195;;Male;14;Single;2;3;52302,5;56
TM195;;Male;16;Partnered;3;3;56850,5;75
TM195;;Male;16;Partnered;4;4;59124,5;132
TM195;;Male;16;Partnered;3;3;61398,5;66
TM195;;Male;16;Partnered;4;3;54576,5;103
TM195;;Male;16;Partnered;3;3;53439,5;66
TM195;;Female;16;Single;3;4;57987,5;75
TM195;;Female;16;Partnered;3;2;60261,5;47
TM195;;Male;16;Partnered;4;3;56850,5;94
TM195;;Female;16;Partnered;3;3;64809,5;66
TM498;;Male;14;Single;3;3;31836,5;64
TM498;;Male;14;Single;2;3;32973,5;53
TM498;;Female;14;Partnered;3;3;34110,5;106
TM498;;Male;14;Single;3;3;38658,5;95
TM498;;Female;14;Partnered;5;4;34110,5;212
TM498;;Male;16;Partnered;2;2;34110,5;42
TM498;;Male;12;Partnered;2;2;32973,5;53
TM498;;Male;14;Partnered;3;3;36384,5;95
TM498;;Male;14;Partnered;3;3;38658,5;85
TM498;;Female;16;Single;3;3;45480,5;95
TM498;;Male;16;Partnered;4;3;45480,5;127
TM498;;Female;16;Partnered;3;2;43206,5;74
TM498;;Female;14;Single;3;2;40932,5;53
TM498;;Male;16;Partnered;3;3;45480,5;64
TM498;;Female;14;Single;3;2;40932,5;85
TM498;;Male;14;Single;3;4;48891,5;106
TM498;;Female;16;Single;3;3;50028,5;106
TM498;;Female;14;Partnered;2;3;45480,5;85
TM498;;Female;14;Single;3;4;43206,5;127
TM498;;Male;16;Partnered;2;2;52302,5;42
TM498;;Female;14;Partnered;5;3;47754,5;106
TM498;;Male;14;Single;3;3;45480,5;95
TM498;;Female;14;Single;2;3;43206,5;64
TM498;;Male;14;Partnered;4;3;45480,5;170
TM498;;Male;14;Partnered;3;4;43206,5;106
TM498;;Male;16;Partnered;2;3;50028,5;53
TM498;;Female;14;Single;2;2;45480,5;42
TM498;;Male;14;Single;4;3;48891,5;127
TM498;;Female;16;Partnered;4;3;45480,5;85
TM498;;Female;16;Single;4;4;50028,5;127
TM498;;Male;16;Single;4;3;51165,5;106
TM498;;Male;14;Single;4;2;45480,5;53
TM498;;Female;14;Partnered;3;3;51165,5;95
TM498;;Female;14;Single;3;3;57987,5;74
TM498;;Female;13;Single;4;3;46617,5;106
TM498;;Male;16;Partnered;3;3;52302,5;95
TM498;;Female;16;Partnered;2;3;51165,5;64
TM498;;Female;18;Single;2;1;65220,5;21
TM498;;Male;16;Single;4;3;60261,5;127
TM498;;Male;16;Partnered;3;3;53439,5;95
TM498;;Male;13;Partnered;4;4;53439,5;170
TM498;;Female;16;Partnered;2;3;50028,5;85
TM498;;Male;16;Partnered;3;3;51165,5;95
TM498;;Female;16;Partnered;5;3;53439,5;95
TM498;;Female;18;Single;3;4;47754,5;74
TM498;;Female;16;Partnered;4;3;64809,5;95
TM498;;Male;16;Partnered;3;4;59124,5;85
TM498;;Male;15;Single;3;3;67083,5;85
TM498;;Female;14;Partnered;3;2;52302,5;53
TM498;;Male;16;Partnered;3;2;53439,5;53
TM498;;Female;16;Single;3;2;50028,5;64
TM498;;Male;16;Partnered;3;3;53439,5;95
TM498;;Female;16;Partnered;2;3;48891,5;85
TM498;;Female;16;Partnered;4;3;62535,5;85
TM498;;Male;16;Partnered;3;3;59124,5;106
TM498;;Female;16;Partnered;3;3;61398,5;85
TM498;;Female;16;Single;3;3;57987,5;85
TM498;;Male;16;Partnered;3;3;64809,5;95
TM498;;Male;16;Partnered;2;2;54576,5;42
TM498;;Male;16;Partnered;2;3;57987,5;64
TM798;;Male;14;Single;4;3;48658,5;106
TM798;;Male;16;Single;3;5;54781,5;120
TM798;;Male;18;Single;4;5;48556,5;200
TM798;;Male;16;Single;4;5;58516,5;140
TM798;;Female;18;Single;5;4;53536,5;100
TM798;;Male;16;Single;4;5;48556,5;100
TM798;;Male;16;Single;4;5;61006,5;100
TM798;;Male;18;Partnered;4;5;57271,5;80
TM798;;Female;16;Single;5;5;52291,5;200
TM798;24;Male;16;Single;5;5;49801,5;160
TM798;25;Male;16;Partnered;4;5;49801,5;120
TM798;25;Male;16;Partnered;4;4;62251,5;160
TM798;25;Female;18;Partnered;5;5;61006,5;200
TM798;25;Male;18;Partnered;4;3;64741,5;100
TM798;25;Male;18;Partnered;6;4;70966,5;180
TM798;25;Male;18;Partnered;6;5;75946,5;240
TM798;25;Male;20;Partnered;4;5;74701,5;170
TM798;26;Female;21;Single;4;3;69721,5;100
TM798;26;Male;16;Partnered;5;4;64741,5;180
TM798;27;Male;16;Partnered;4;5;83416,5;160
TM798;27;Male;18;Single;4;3;88396,5;100
TM798;27;Male;21;Partnered;4;4;90886,5;100
TM798;28;Female;18;Partnered;6;5;92131,5;180
TM798;28;Male;18;Partnered;7;5;77191,5;180
TM798;28;Male;18;Single;6;5;88396,5;150
TM798;29;Male;18;Single;5;5;52290,5;180
TM798;29;Male;14;Partnered;7;5;85906,5;300
TM798;30;Female;16;Partnered;6;5;90886,5;280
TM798;30;Male;18;Partnered;5;4;103336,5;160
TM798;30;Male;18;Partnered;5;5;99601,5;150
TM798;31;Male;16;Partnered;6;5;89641,5;260
TM798;33;Female;18;Partnered;4;5;95866,5;200
TM798;34;Male;16;Single;5;5;92131,5;150
TM798;35;Male;16;Partnered;4;5;92131,5;360
TM798;38;Male;18;Partnered;5;5;104581,5;150
TM798;40;Male;21;Single;6;5;83416,5;200
TM798;42;Male;18;Single;5;4;89641,5;200
TM798;45;Male;16;Single;5;5;90886,5;160
TM798;47;Male;18;Partnered;4;5;104581,5;120
TM798;48;Male;18;Partnered;4;5;95508,5;180
