Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Meteorologi Cilacap,11-03-2010,24,31.6,27.5,12,1,1
Stasiun Klimatologi Bogor,05-02-2009,21.7,26.2,23.6,11.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,19-01-2009,25,27.5,25.9,11.6,0,0
 Stasiun Klimatologi Bogor,29-03-2009,23.2,30.4,25.5,11.4,1,1
Stasiun Meteorologi Maritim Tanjung Mas,02-01-2009,24.3,31,27.3,11.4,1,1
Stasiun Klimatologi Bogor,29-03-2009,23.2,30.4,25.5,11.4,1,1
Stasiun Meteorologi Cilacap,02-03-2010,26.2,32.8,29.5,11.3,0,0
Stasiun Meteorologi Nangapinoh,15-02-2009,22.4,29.7,25.6,11.3,1,1
Stasiun Klimatologi Bogor,12-01-2009,21.4,27.2,23.3,11.2,0,0
 Stasiun Klimatologi Bogor,30-03-2009,20.6,31,25,11.2,1,1
Stasiun Meteorologi Maritim Tanjung Mas,01-03-2009,25.2,29.6,27.6,11.2,0,0
Stasiun Klimatologi Bogor,30-03-2009,20.6,31,25,11.2,1,1
Stasiun Klimatologi Bogor,08-02-2009,22.3,27.4,24.3,11,0,0
Stasiun Klimatologi Bogor,24-01-2010,22.4,31.3,25.5,11,1,1
Stasiun Klimatologi Bogor,31-01-2010,23.8,29,25.5,11,0,0
 Stasiun Meteorologi Nangapinoh,16-02-2010,23.6,31.4,26,11,1,1
Stasiun Klimatologi Bogor,19-01-2009,22.8,27.7,25,10.7,0,0
Stasiun Klimatologi Bogor,22-01-2009,22,30.2,26,10.7,1,1
Stasiun Klimatologi Bogor,29-01-2009,23,30.4,25.7,10.7,1,1
Stasiun Klimatologi Bogor,13-02-2009,21.4,30,25.7,10.7,1,1
Stasiun Meteorologi Cilacap,04-02-2009,23.6,30.1,26,10.7,1,1
Stasiun Meteorologi Cilacap,05-02-2009,23.8,31,26.3,10.7,1,1
Stasiun Meteorologi Cilacap,06-02-2009,23.9,31.4,27.3,10.7,1,1
Stasiun Meteorologi Nangapinoh,13-01-2009,23.2,31.2,26.8,10.7,1,1
Stasiun Meteorologi Nangapinoh,09-02-2009,23,32.5,27.3,10.7,1,1
Stasiun Klimatologi Mempawah,15-01-2009,24,29.8,26.1,10.7,0,0
Stasiun Klimatologi Mempawah,17-01-2009,24.2,30,26,10.7,1,1
Stasiun Klimatologi Mempawah,25-01-2009,24.3,29.9,25.7,10.7,0,0
Stasiun Klimatologi Mempawah,01-02-2009,23.3,31,25.6,10.7,1,1
Stasiun Klimatologi Mempawah,05-02-2009,22.7,30.5,25.8,10.7,1,1
Stasiun Klimatologi Mempawah,15-01-2010,23.2,30.4,26.5,10.7,1,1
Stasiun Klimatologi Mempawah,23-01-2010,23.6,31.9,26.6,10.7,1,1
Stasiun Klimatologi Mempawah,24-01-2010,23.9,31.7,27.5,10.7,1,1
Stasiun Klimatologi Mempawah,28-01-2010,23.5,34.2,27.5,10.7,1,1
Stasiun Klimatologi Mempawah,12-02-2010,25.5,30.8,27.1,10.7,0,0
Stasiun Meteorologi Nangapinoh,22-01-2010,22.3,33.6,25.2,10.7,1,1
Stasiun Meteorologi Nangapinoh,26-01-2010,22.7,33.3,27.5,10.7,1,1
Stasiun Meteorologi Nangapinoh,03-02-2010,22.8,32,26.5,10.7,1,1
Stasiun Meteorologi Nangapinoh,08-02-2010,22,33.8,27.7,10.7,1,1
Stasiun Klimatologi Mempawah,01-02-2009,23.3,31,25.6,10.7,1,1
Stasiun Klimatologi Mempawah,05-02-2009,22.7,30.5,25.8,10.7,1,1
Stasiun Meteorologi Cilacap,26-01-2010,24.4,32.8,27.8,10.7,1,1
Stasiun Meteorologi Cilacap,08-02-2010,25.2,32.5,27.4,10.7,0,0
Stasiun Meteorologi Cilacap,11-02-2010,24,32.6,29.3,10.7,1,1
Stasiun Klimatologi Bogor,01-02-2010,24.4,31.8,25.6,10.7,1,1
Stasiun Klimatologi Bogor,12-02-2010,23.8,32.6,26.7,10.7,1,1
Stasiun Meteorologi Cilacap,17-02-2010,25.5,32.2,27.9,10.7,0,0
Stasiun Meteorologi Cilacap,18-02-2010,25.6,32.2,28,10.7,0,0
Stasiun Meteorologi Cilacap,20-02-2010,24,30.8,26.9,10.7,1,1
Stasiun Meteorologi Cilacap,27-02-2010,25.6,33.2,28.9,10.7,0,0
Stasiun Meteorologi Cilacap,04-03-2010,26.2,32.7,29.1,10.7,0,0
Stasiun Meteorologi Cilacap,07-03-2010,26,33.6,29.1,10.7,0,0
Stasiun Klimatologi Mempawah,16-02-2010,25.1,30.6,27.1,10.7,0,0
Stasiun Klimatologi Mempawah,23-02-2010,24.2,33,27.9,10.7,1,1
Stasiun Klimatologi Mempawah,28-02-2010,26.3,31.8,28.7,10.7,0,0
Stasiun Klimatologi Bogor,14-02-2009,21.6,31.5,26.5,10.7,1,1
Stasiun Klimatologi Bogor,19-02-2009,23.2,31.8,25.8,10.7,1,1
Stasiun Klimatologi Bogor,25-02-2009,22.3,30.8,26.6,10.7,1,1
 Stasiun Klimatologi Bogor,14-03-2009,22.6,31.3,25.1,10.7,1,1
 Stasiun Klimatologi Bogor,31-03-2009,20.5,32.6,26.2,10.7,1,1
Stasiun Klimatologi Bogor,02-01-2010,24,32.8,26.5,10.7,1,1
Stasiun Meteorologi Cilacap,22-02-2009,24.6,31.4,27.4,10.7,0,0
Stasiun Meteorologi Cilacap,26-01-2010,24.4,32.8,27.8,10.7,0,0
Stasiun Meteorologi Cilacap,18-03-2010,24.7,32.5,28.3,10.7,0,0
Stasiun Meteorologi Nangapinoh,25-03-2010,23.4,33.2,28,10.7,1,1
Stasiun Klimatologi Mempawah,03-01-2009,25.2,29.9,26.9,10.7,0,0
Stasiun Klimatologi Mempawah,12-01-2009,23.8,30.5,26.9,10.7,1,1
Stasiun Klimatologi Mempawah,24-02-2009,23.2,30.8,26,10.7,1,1
Stasiun Klimatologi Mempawah,26-02-2009,23.6,31,26.5,10.7,1,1
Stasiun Klimatologi Mempawah,29-03-2010,23.9,31.8,27,10.7,1,1
Stasiun Klimatologi Mempawah,31-03-2010,24.2,31.8,27.7,10.7,1,1
Stasiun Meteorologi Nangapinoh,09-02-2009,23,32.5,27.3,10.7,1,1
Stasiun Meteorologi Nangapinoh,08-03-2009,22.7,31.4,26,10.7,1,1
Stasiun Meteorologi Nangapinoh,12-03-2009,22.8,32.4,27,10.7,1,1
Stasiun Meteorologi Nangapinoh,17-03-2009,22.3,30.6,25.7,10.7,1,1
Stasiun Meteorologi Nangapinoh,23-03-2009,21.9,33.2,27.1,10.7,1,1
Stasiun Meteorologi Nangapinoh,27-03-2009,22.6,34,26.9,10.7,1,1
Stasiun Meteorologi Nangapinoh,28-03-2009,22.3,31.5,26.9,10.7,1,1
Stasiun Meteorologi Nangapinoh,31-03-2009,23.8,27.5,26.1,10.7,0,0
Stasiun Klimatologi Mempawah,13-03-2009,23.6,31.5,26.7,10.7,1,1
Stasiun Klimatologi Mempawah,25-03-2009,23.2,31.7,26.9,10.7,1,1
Stasiun Meteorologi Cilacap,12-03-2009,24.6,31.8,28.2,10.7,1,1
Stasiun Meteorologi Cilacap,20-03-2009,25.2,33.2,28.6,10.7,0,0
Stasiun Klimatologi Bogor,04-03-2009,22.6,32,27,10.7,1,1
Stasiun Klimatologi Bogor,08-03-2009,22.2,32.6,26.9,10.7,1,1
Stasiun Klimatologi Bogor,12-03-2009,20.8,31.7,25.9,10.7,1,1
Stasiun Klimatologi Bogor,14-03-2009,22.6,31.3,25.1,10.7,1,1
Stasiun Klimatologi Bogor,31-03-2009,20.5,32.6,26.2,10.7,1,1
Stasiun Klimatologi Bogor,31-01-2009,22.4,27.8,24.7,10.6,0,0
Stasiun Klimatologi Mempawah,10-02-2010,25,27.2,25.1,10.6,0,0
Stasiun Meteorologi Cilacap,22-02-2010,24.4,31.6,27.8,10.5,1,1
Stasiun Meteorologi Cilacap,21-03-2010,26,32.4,27.7,10.5,0,0
Stasiun Meteorologi Cilacap,01-02-2009,24.2,31.4,27.1,10.3,1,1
Stasiun Meteorologi Cilacap,21-02-2010,24.4,32.8,28.2,10.3,1,1
Stasiun Meteorologi Nangapinoh,19-01-2009,24,29,25.7,10.2,1,1
Stasiun Klimatologi Bogor,08-01-2010,22.4,29.7,24.7,10.2,0,0
Stasiun Klimatologi Bogor,05-02-2010,23.4,30.8,25.7,10,1,1
Stasiun Klimatologi Bogor,14-02-2010,23.7,29.8,25.3,9.9,0,0
Stasiun Meteorologi Cilacap,19-02-2009,23.9,32.5,27.1,9.8,0,0
Stasiun Meteorologi Cilacap,28-03-2009,24.6,31.9,27.2,9.7,0,0
Stasiun Klimatologi Bogor,09-03-2010,23.2,32.1,25.8,9.6,0,0
Stasiun Klimatologi Mempawah,15-03-2009,23.5,31,26.6,9.6,0,0
Stasiun Klimatologi Mempawah,24-01-2009,25.1,29,26.3,9.5,0,0
Stasiun Klimatologi Bogor,09-02-2009,22.4,27.8,25.1,9.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,31-01-2010,25,30,27.5,9.4,0,0
Stasiun Klimatologi Mempawah,22-03-2010,23.9,31.6,27.3,9.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,01-01-2009,24,31,27.2,9.3,0,0
Stasiun Klimatologi Mempawah,25-02-2009,23.8,31,26.3,9.2,0,0
Stasiun Klimatologi Mempawah,06-03-2009,25.5,31.2,28,9.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,02-02-2009,24.4,28.2,25,9,0,0
Stasiun Meteorologi Maritim Tanjung Mas,25-02-2010,26,30.8,28.3,9,0,0
Stasiun Meteorologi Maritim Tanjung Mas,09-01-2010,24.6,29.6,27.3,9,0,0
Stasiun Meteorologi Nangapinoh,28-01-2009,23.5,31.8,26.8,8.7,0,0
 Stasiun Klimatologi Bogor,15-03-2009,21.7,32.2,25.2,8.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,27-02-2009,24.8,31,27.5,8.7,0,0
Stasiun Klimatologi Bogor,15-03-2009,21.7,32.2,25.2,8.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,27-01-2009,24.2,29.2,27.3,8.6,0,0
Stasiun Meteorologi Cilacap,19-01-2010,23.8,31.3,28,8.5,0,0
Stasiun Klimatologi Bogor,28-01-2010,21.8,30.8,25.1,8.5,0,0
Stasiun Meteorologi Cilacap,19-01-2010,23.8,31.3,28,8.5,0,0
Stasiun Meteorologi Nangapinoh,06-01-2010,22,31.1,25.7,8.5,0,0
Stasiun Klimatologi Mempawah,28-03-2009,24.6,29.8,26.2,8.5,0,0
Stasiun Klimatologi Bogor,01-03-2009,22.8,30,26.4,8.5,0,0
Stasiun Meteorologi Cilacap,19-03-2010,25,31.8,28,8.4,0,0
Stasiun Klimatologi Mempawah,18-01-2010,24.4,30.6,26.6,8.3,0,0
Stasiun Klimatologi Bogor,24-02-2010,24.2,32,26.5,8.3,0,0
Stasiun Meteorologi Cilacap,28-02-2010,25.6,32.8,28.8,8.2,0,0
Stasiun Meteorologi Cilacap,15-02-2010,23.9,31.2,27.5,8.1,0,0
Stasiun Meteorologi Nangapinoh,09-03-2009,22.7,32,26.6,8.1,0,0
Stasiun Meteorologi Cilacap,13-03-2009,23.9,32,27,7.9,0,0
Stasiun Klimatologi Bogor,05-03-2010,23.2,30.4,25.9,7.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,16-01-2009,24.8,29.5,27.2,7.7,0,0
Stasiun Meteorologi Cilacap,10-02-2010,24.2,32.2,28.1,7.7,0,0
Stasiun Klimatologi Mempawah,18-01-2009,23.8,31,26.9,7.5,0,0
Stasiun Meteorologi Cilacap,02-02-2009,23.4,28.6,25.5,7.3,0,0
Stasiun Klimatologi Mempawah,26-01-2010,23,31.4,26,7.2,0,0
Stasiun Klimatologi Bogor,11-01-2010,22.8,32.1,26,7.2,0,0
Stasiun Meteorologi Cilacap,22-03-2010,25.4,31.3,28.1,7.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,12-02-2009,24.2,29.6,26.9,7.1,0,0
Stasiun Meteorologi Cilacap,21-01-2010,24.2,30,26.3,7.1,0,0
Stasiun Meteorologi Cilacap,21-01-2010,24.2,30,26.3,7.1,0,0
Stasiun Meteorologi Nangapinoh,28-03-2010,23.5,31.6,26.2,7.1,0,0
Stasiun Klimatologi Bogor,13-01-2010,23,27.2,24.4,7,0,0
Stasiun Klimatologi Mempawah,01-03-2010,25,31.4,27.7,7,0,0
Stasiun Klimatologi Bogor,13-01-2010,23,27.2,24.4,7,0,0
Stasiun Klimatologi Mempawah,16-02-2009,23.7,31.5,26.8,7,0,0
Stasiun Klimatologi Bogor,01-03-2010,23.4,32.4,26.3,6.9,0,0
Stasiun Meteorologi Nangapinoh,01-02-2009,22.8,28,24.7,6.8,0,0
 Stasiun Klimatologi Bogor,24-03-2009,21.2,32.4,25.9,6.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,06-01-2009,25.4,31.2,27.9,6.8,0,0
Stasiun Klimatologi Mempawah,02-01-2010,23.6,29.3,25.8,6.8,0,0
Stasiun Meteorologi Nangapinoh,01-02-2009,22.8,28,24.7,6.8,0,0
Stasiun Klimatologi Bogor,24-03-2009,21.2,32.4,25.9,6.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,26-01-2009,25.4,30.5,27.2,6.7,0,0
Stasiun Klimatologi Bogor,15-02-2010,23.2,32.6,26,6.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,19-01-2010,25,29.2,26.7,6.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,12-02-2010,25.1,32.4,29.4,6.5,0,0
Stasiun Klimatologi Bogor,23-02-2010,23.6,33.1,26.5,6.5,0,0
Stasiun Klimatologi Bogor,14-03-2010,23.4,32.6,26.1,6.5,0,0
Stasiun Meteorologi Cilacap,11-01-2010,23.8,31.8,27.9,6.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,15-01-2010,25,29.8,26.8,6.4,0,0
Stasiun Klimatologi Mempawah,01-01-2010,24,30.4,26.6,6.4,0,0
Stasiun Meteorologi Nangapinoh,06-02-2010,22,33.2,26.7,6.3,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,18-03-2010,24.8,31,28,6,0,0
Stasiun Meteorologi Maritim Tanjung Mas,16-02-2010,26,31,28.2,5.9,0,0
Stasiun Meteorologi Nangapinoh,30-01-2010,23.3,31.9,26,5.8,0,0
Stasiun Klimatologi Bogor,29-01-2010,23,31.4,26.5,5.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,05-03-2010,25.2,29,26.3,5.8,0,0
Stasiun Meteorologi Nangapinoh,01-03-2009,23.4,31,26.1,5.7,0,0
Stasiun Klimatologi Bogor,02-01-2009,22.3,32.1,25.8,5.6,0,0
Stasiun Meteorologi Maritim Tanjung Mas,22-02-2010,26,31,28.5,5.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,25-01-2010,25,30,27.1,5.4,0,0
Stasiun Meteorologi Cilacap,01-03-2010,24.8,32.5,28.8,5.4,0,0
Stasiun Klimatologi Bogor,13-03-2009,21.8,31.7,26.1,5.4,0,0
Stasiun Klimatologi Bogor,13-02-2010,23.8,27.4,25.1,5.3,0,0
 Stasiun Meteorologi Nangapinoh,18-02-2010,23.2,31.6,26.7,5.3,0,0
 Stasiun Meteorologi Nangapinoh,19-02-2010,23.2,32.4,27.8,5.3,0,0
Stasiun Meteorologi Nangapinoh,14-02-2009,22.2,31.7,25.2,5.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,13-03-2009,25.4,30.8,27.9,5.2,0,0
Stasiun Klimatologi Mempawah,23-02-2009,24.5,30.6,26.3,5.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,07-01-2010,24.8,31.6,27.5,5,0,0
Stasiun Meteorologi Nangapinoh,11-01-2010,24.1,32.3,26.9,5,0,0
Stasiun Klimatologi Bogor,18-02-2010,24.3,29.8,26.1,4.8,0,0
Stasiun Klimatologi Bogor,21-02-2009,22,30.5,24.7,4.7,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,26-03-2010,25.6,31.4,27.9,4.7,0,0
Stasiun Meteorologi Nangapinoh,17-03-2010,22.2,32.3,27.1,4.7,0,0
Stasiun Klimatologi Bogor,23-01-2010,22.4,31.6,25.1,4.6,0,0
Stasiun Klimatologi Bogor,22-02-2009,21.2,31.3,24.4,4.6,0,0
 Stasiun Klimatologi Bogor,20-03-2009,20.6,32.2,25.6,4.6,0,0
Stasiun Klimatologi Bogor,20-03-2009,20.6,32.2,25.6,4.6,0,0
Stasiun Meteorologi Nangapinoh,05-02-2009,21.7,28.2,25,4.5,0,0
Stasiun Klimatologi Mempawah,30-01-2009,22.8,30.3,25.8,4.5,0,0
Stasiun Klimatologi Mempawah,06-02-2010,23.4,31.6,27.2,4.5,0,0
Stasiun Klimatologi Bogor,04-02-2010,23.6,31.3,25.6,4.5,0,0
Stasiun Meteorologi Nangapinoh,05-02-2009,21.7,28.2,25,4.5,0,0
Stasiun Klimatologi Bogor,17-01-2009,22.4,28.8,25.1,4.4,0,0
Stasiun Meteorologi Cilacap,27-03-2010,25.4,31.6,28.2,4.4,0,0
Stasiun Meteorologi Cilacap,03-01-2009,24.2,31.6,27.9,4.3,0,0
Stasiun Klimatologi Bogor,07-02-2010,22.5,32.9,24.9,4.2,0,0
Stasiun Meteorologi Cilacap,25-02-2010,24.3,32.8,28.5,4.2,0,0
Stasiun Klimatologi Mempawah,15-03-2010,24.8,32,28,4.2,0,0
Stasiun Meteorologi Cilacap,31-03-2010,24.8,30.5,27.4,4.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,28-01-2009,25.4,29.3,27.1,4,0,0
Stasiun Klimatologi Mempawah,29-01-2010,25,31.4,27.5,4,0,0
Stasiun Meteorologi Cilacap,07-01-2010,24.4,31.8,27.3,4,0,0
Stasiun Meteorologi Nangapinoh,27-03-2010,23.5,31.8,27.3,4,0,0
Stasiun Klimatologi Mempawah,10-01-2009,24.2,28,25.1,4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,09-03-2009,24.2,31.4,27.4,4,0,0
Stasiun Klimatologi Mempawah,02-02-2010,24.6,30.8,27.6,3.9,0,0
Stasiun Klimatologi Bogor,21-01-2010,22.3,31,25.5,3.8,0,0
Stasiun Klimatologi Bogor,06-01-2010,23.4,31.6,25.9,3.8,0,0
Stasiun Meteorologi Cilacap,25-03-2010,25.4,32.6,29.3,3.7,0,0
Stasiun Klimatologi Mempawah,06-01-2009,24.8,31,27,3.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,15-02-2009,24.7,30,26.8,3.6,0,0
Stasiun Meteorologi Cilacap,03-03-2009,25,33.1,28.1,3.6,0,0
Stasiun Meteorologi Maritim Tanjung Mas,28-01-2010,24,30.6,26.7,3.5,0,0
Stasiun Meteorologi Cilacap,26-02-2010,24.5,32.6,28.7,3.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,10-03-2010,25.6,31.8,27.7,3.5,0,0
Stasiun Klimatologi Mempawah,15-02-2010,24.3,28.8,26.3,3.5,0,0
Stasiun Meteorologi Nangapinoh,23-01-2009,24,30.2,26.3,3.4,0,0
Stasiun Meteorologi Nangapinoh,18-01-2010,22.3,31.3,26.4,3.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,24-02-2010,26.1,29.8,27.6,3.3,0,0
Stasiun Meteorologi Nangapinoh,17-01-2009,23.7,26.5,24.8,3.1,0,0
Stasiun Klimatologi Mempawah,14-01-2010,24.4,29.8,26.5,3.1,0,0
Stasiun Klimatologi Bogor,10-03-2010,23.7,30.1,26.3,3.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,11-01-2009,24,30,26.3,3.1,0,0
Stasiun Klimatologi Mempawah,13-02-2010,23.7,31.2,25.9,3,0,0
Stasiun Meteorologi Nangapinoh,17-01-2010,22.4,32.6,27.4,3,0,0
Stasiun Klimatologi Bogor,16-01-2010,22.7,26.6,24.3,3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,11-03-2010,24.8,31,26.8,3,0,0
 Stasiun Meteorologi Nangapinoh,24-02-2010,21.4,33.6,26.2,3,0,0
Stasiun Klimatologi Bogor,07-01-2010,23,32.2,25.5,3,0,0
