Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Meteorologi Cilacap,15-01-2010,24,33,26.4,2.9,0,0
Stasiun Klimatologi Bogor,20-01-2010,22.4,28.3,23.9,2.9,0,0
Stasiun Meteorologi Cilacap,15-01-2010,24,33,26.4,2.9,0,0
Stasiun Meteorologi Nangapinoh,13-03-2009,23.1,31.6,25.9,2.9,0,0
Stasiun Klimatologi Bogor,16-02-2010,23.6,31.5,25.6,2.8,0,0
Stasiun Klimatologi Bogor,03-01-2010,24.1,31.3,27,2.8,0,0
Stasiun Klimatologi Mempawah,07-03-2009,24.6,32.4,27.2,2.8,0,0
Stasiun Meteorologi Nangapinoh,13-02-2010,23.8,29.2,25.6,2.6,0,0
Stasiun Klimatologi Bogor,17-01-2010,22.6,27.6,24.2,2.6,0,0
Stasiun Klimatologi Mempawah,16-03-2010,24.3,31.9,27,2.6,0,0
Stasiun Meteorologi Nangapinoh,14-03-2009,23.1,29.7,25.3,2.6,0,0
Stasiun Meteorologi Cilacap,07-02-2009,24.5,32.4,27.6,2.5,0,0
Stasiun Meteorologi Cilacap,03-02-2010,24.8,31.5,28,2.5,0,0
Stasiun Klimatologi Bogor,19-01-2010,23,29.8,25.3,2.5,0,0
Stasiun Klimatologi Bogor,26-02-2010,22.3,33.4,26.4,2.5,0,0
Stasiun Klimatologi Mempawah,13-03-2010,25.3,31.2,27.6,2.5,0,0
Stasiun Meteorologi Cilacap,10-01-2009,23.6,29.7,26.1,2.5,0,0
Stasiun Klimatologi Mempawah,08-03-2009,23.9,31.4,26.4,2.5,0,0
Stasiun Klimatologi Bogor,12-02-2009,21.4,29.9,25.2,2.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,23-01-2010,25.6,30.6,27.2,2.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,21-02-2010,23.8,31,27.7,2.4,0,0
Stasiun Klimatologi Mempawah,14-02-2010,23.4,31.6,27,2.4,0,0
Stasiun Meteorologi Cilacap,09-03-2009,24.8,31,27.1,2.4,0,0
Stasiun Klimatologi Bogor,26-01-2009,22.3,28.7,24.9,2.3,0,0
Stasiun Meteorologi Cilacap,11-02-2009,24.8,30.3,27.3,2.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,20-01-2010,24.8,31,27.3,2.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,30-01-2010,25.2,29.8,27.7,2.3,0,0
Stasiun Klimatologi Bogor,16-02-2009,22.6,28.6,25.1,2.3,0,0
Stasiun Meteorologi Cilacap,02-03-2009,25,33.2,28.7,2.3,0,0
Stasiun Meteorologi Cilacap,13-01-2010,24.4,32.6,27.6,2.2,0,0
Stasiun Meteorologi Cilacap,25-01-2010,25.4,31.2,27.3,2.2,0,0
Stasiun Meteorologi Cilacap,13-01-2010,24.4,32.6,27.6,2.2,0,0
Stasiun Meteorologi Cilacap,25-01-2010,25.4,31.2,27.3,2.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,14-02-2009,24.7,30.2,27.2,2.2,0,0
Stasiun Meteorologi Cilacap,16-03-2009,24,31.8,27.5,2.2,0,0
Stasiun Meteorologi Nangapinoh,15-01-2009,23.2,30,26,2.1,0,0
Stasiun Klimatologi Mempawah,19-01-2010,24,30.6,26.8,2.1,0,0
 Stasiun Meteorologi Nangapinoh,21-02-2010,21.8,32.7,27.1,2.1,0,0
Stasiun Klimatologi Bogor,28-01-2009,22.7,30.8,25.8,2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,20-01-2009,24.9,29.5,27.2,2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,13-01-2010,24.5,30,27.4,2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,14-02-2010,26,31.2,28.4,2,0,0
 Stasiun Meteorologi Nangapinoh,08-03-2010,23.6,34.5,28.7,2,0,0
Stasiun Klimatologi Mempawah,12-03-2010,24.6,31.6,27.2,2,0,0
Stasiun Klimatologi Bogor,07-01-2009,21.8,28.5,25,2,0,0
Stasiun Klimatologi Bogor,26-02-2009,23,30.4,26.4,2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,10-01-2010,25.5,30.5,27.6,2,0,0
Stasiun Meteorologi Nangapinoh,18-03-2010,22.2,32,26.7,2,0,0
Stasiun Klimatologi Mempawah,02-01-2009,24.7,29.6,26.4,2,0,0
Stasiun Klimatologi Mempawah,08-01-2009,24,29.4,24.4,2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,04-03-2009,24.4,30.5,26.8,2,0,0
Stasiun Klimatologi Bogor,07-03-2010,23.4,33.2,26,1.9,0,0
Stasiun Meteorologi Cilacap,10-03-2009,24.4,32.1,27.9,1.9,0,0
Stasiun Meteorologi Cilacap,12-02-2010,26,33,28.2,1.8,0,0
Stasiun Meteorologi Nangapinoh,26-02-2009,22.3,32.5,25.8,1.8,0,0
Stasiun Meteorologi Cilacap,27-03-2009,24,31.8,28.2,1.8,0,0
Stasiun Meteorologi Cilacap,05-02-2010,25.3,32.4,28.1,1.7,0,0
Stasiun Klimatologi Bogor,03-02-2010,23.4,31.9,25.9,1.7,0,0
Stasiun Meteorologi Nangapinoh,29-03-2009,22.2,34,27.4,1.7,0,0
Stasiun Klimatologi Bogor,18-01-2009,23,29.2,25.7,1.6,0,0
 Stasiun Meteorologi Nangapinoh,25-02-2010,21.5,31,26.3,1.6,0,0
Stasiun Klimatologi Bogor,20-02-2009,22.2,31.8,25.6,1.6,0,0
Stasiun Meteorologi Cilacap,08-01-2009,25,31,26.3,1.6,0,0
Stasiun Meteorologi Cilacap,25-02-2009,24.8,31.9,27.5,1.6,0,0
Stasiun Meteorologi Cilacap,05-01-2010,25.8,32,28.5,1.6,0,0
Stasiun Klimatologi Bogor,23-01-2009,22.4,30.8,26.4,1.5,0,0
Stasiun Klimatologi Bogor,30-01-2009,22.8,28.9,24.5,1.5,0,0
Stasiun Meteorologi Cilacap,31-01-2010,24.8,32.2,27.6,1.5,0,0
Stasiun Meteorologi Cilacap,31-01-2010,24.8,32.2,27.6,1.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,16-02-2009,24.4,29,26.6,1.5,0,0
Stasiun Klimatologi Mempawah,03-01-2010,24.6,31.4,27.6,1.5,0,0
Stasiun Klimatologi Mempawah,05-01-2010,22,30.1,25.2,1.5,0,0
 Stasiun Meteorologi Nangapinoh,23-02-2010,21.7,33.8,27.7,1.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,03-01-2009,24,31.2,27.6,1.4,0,0
Stasiun Meteorologi Nangapinoh,22-01-2009,24.2,27.8,25.8,1.3,0,0
Stasiun Meteorologi Nangapinoh,11-02-2010,24.5,34.2,28.9,1.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,10-03-2009,24.8,31.5,28.1,1.3,0,0
Stasiun Meteorologi Cilacap,18-01-2010,24.2,34.4,28.8,1.2,0,0
Stasiun Meteorologi Cilacap,27-01-2010,24.4,32,28.4,1.2,0,0
Stasiun Klimatologi Bogor,22-01-2010,22.4,30.7,23.7,1.2,0,0
 Stasiun Meteorologi Nangapinoh,13-03-2010,22.5,33.1,27.6,1.2,0,0
Stasiun Meteorologi Cilacap,16-02-2009,24.6,32.7,27.7,1.2,0,0
Stasiun Meteorologi Cilacap,03-01-2010,25.4,32.8,28.9,1.2,0,0
Stasiun Meteorologi Cilacap,18-01-2010,24.2,34.4,28.8,1.2,0,0
Stasiun Meteorologi Cilacap,27-01-2010,24.4,32,28.4,1.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,05-01-2010,24.2,31.5,28.5,1.2,0,0
Stasiun Klimatologi Mempawah,03-03-2009,24.2,31.8,27.1,1.2,0,0
Stasiun Klimatologi Mempawah,16-03-2009,24.7,30.1,26.8,1.2,0,0
Stasiun Klimatologi Mempawah,27-01-2009,23.2,29.8,25.2,1.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,09-02-2010,25.8,32,28.7,1.1,0,0
Stasiun Klimatologi Bogor,26-01-2010,24,29,26.1,1.1,0,0
Stasiun Klimatologi Bogor,11-01-2009,21.8,28,23.7,1.1,0,0
Stasiun Klimatologi Bogor,27-02-2009,23.6,30.4,26.3,1.1,0,0
Stasiun Klimatologi Mempawah,29-01-2009,24.1,26.6,24.7,1,0,0
Stasiun Meteorologi Cilacap,13-02-2010,25,32.4,27.2,1,0,0
Stasiun Klimatologi Mempawah,10-03-2010,23,31.8,25.4,1,0,0
Stasiun Meteorologi Cilacap,01-01-2009,24.8,31.8,27.9,1,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,29-03-2010,25,31.8,27.7,1,0,0
Stasiun Meteorologi Nangapinoh,04-01-2010,23.8,32.4,26.4,1,0,0
Stasiun Meteorologi Nangapinoh,15-03-2010,22.3,33.2,26.8,1,0,0
Stasiun Klimatologi Mempawah,07-01-2009,24.2,30.5,26.1,1,0,0
Stasiun Klimatologi Bogor,05-03-2009,22.8,31.4,25.7,1,0,0
Stasiun Meteorologi Nangapinoh,16-01-2009,24.2,30.1,25.9,0.9,0,0
Stasiun Meteorologi Nangapinoh,21-01-2009,24.1,30.4,27,0.9,0,0
Stasiun Klimatologi Bogor,17-02-2009,22,31.8,25.8,0.9,0,0
Stasiun Klimatologi Mempawah,21-02-2009,24,31.5,26.8,0.9,0,0
Stasiun Klimatologi Bogor,01-02-2009,22.5,30,25.4,0.8,0,0
Stasiun Meteorologi Nangapinoh,02-02-2010,22.4,32,26,0.8,0,0
Stasiun Meteorologi Cilacap,04-02-2010,25.7,32.6,29.1,0.8,0,0
Stasiun Klimatologi Bogor,03-01-2009,21.2,31.5,25.8,0.8,0,0
Stasiun Meteorologi Cilacap,07-01-2009,24.4,32.2,27.6,0.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,08-01-2009,24.4,30.8,26.5,0.8,0,0
Stasiun Meteorologi Maritim Tanjung Mas,17-02-2009,25,30.4,27.2,0.8,0,0
Stasiun Klimatologi Mempawah,21-03-2010,24.2,31.5,27.2,0.8,0,0
Stasiun Meteorologi Nangapinoh,22-02-2009,23.5,31.4,26.4,0.8,0,0
Stasiun Meteorologi Nangapinoh,23-02-2009,23.2,31.7,26,0.8,0,0
Stasiun Meteorologi Nangapinoh,03-03-2009,24.2,34,27.8,0.8,0,0
Stasiun Meteorologi Nangapinoh,11-03-2009,23.5,31.3,26.3,0.8,0,0
Stasiun Klimatologi Bogor,02-03-2010,22.6,33.8,25.9,0.7,0,0
Stasiun Klimatologi Bogor,09-01-2010,22.6,29.4,25,0.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,11-01-2010,24.2,31.2,26.9,0.7,0,0
Stasiun Meteorologi Nangapinoh,17-02-2009,24.8,33.3,27.4,0.7,0,0
Stasiun Meteorologi Maritim Tanjung Mas,17-01-2009,24.8,29.6,27.2,0.6,0,0
Stasiun Meteorologi Cilacap,01-02-2010,24.6,30.2,27.3,0.6,0,0
Stasiun Meteorologi Cilacap,01-01-2010,25.4,31.8,28.6,0.6,0,0
Stasiun Meteorologi Cilacap,29-03-2010,25.2,32.1,28.3,0.6,0,0
Stasiun Meteorologi Nangapinoh,15-03-2009,23.2,32,27,0.6,0,0
Stasiun Klimatologi Mempawah,10-03-2009,23.3,28.7,25.6,0.6,0,0
Stasiun Klimatologi Mempawah,14-03-2009,23.8,28.7,26,0.6,0,0
Stasiun Klimatologi Mempawah,26-03-2009,23.3,31.7,26.9,0.6,0,0
Stasiun Klimatologi Mempawah,16-01-2009,24.4,29.4,26.5,0.5,0,0
Stasiun Klimatologi Mempawah,20-01-2010,23.2,32.6,27.2,0.5,0,0
Stasiun Klimatologi Mempawah,31-01-2010,24.4,31,26.6,0.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,03-02-2010,25.6,30.4,27.3,0.5,0,0
Stasiun Meteorologi Cilacap,22-01-2010,24.3,34.8,27.3,0.5,0,0
Stasiun Klimatologi Bogor,21-02-2010,22.2,32.2,26.1,0.5,0,0
Stasiun Klimatologi Bogor,01-01-2009,23.2,30.1,26.2,0.5,0,0
Stasiun Klimatologi Bogor,01-01-2010,22.8,31.6,26.4,0.5,0,0
Stasiun Meteorologi Cilacap,22-01-2010,24.3,34.8,27.3,0.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,10-01-2009,24.4,29.4,26,0.5,0,0
Stasiun Meteorologi Maritim Tanjung Mas,24-02-2009,25.2,30.6,27.1,0.5,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,15-03-2010,25.6,32.8,29,0.5,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,20-03-2010,25,31.8,28.2,0.5,0,0
Stasiun Klimatologi Mempawah,18-03-2010,24.5,32.4,26.8,0.5,0,0
Stasiun Meteorologi Nangapinoh,02-03-2009,23.4,31.4,27.6,0.5,0,0
Stasiun Klimatologi Mempawah,23-03-2009,22.8,31,25.9,0.5,0,0
Stasiun Klimatologi Mempawah,31-03-2009,25,30.2,26.5,0.5,0,0
Stasiun Klimatologi Mempawah,31-01-2009,24.2,29.8,26.4,0.4,0,0
Stasiun Klimatologi Mempawah,02-03-2010,23.8,31.7,27.3,0.4,0,0
Stasiun Klimatologi Bogor,08-01-2009,22.1,29,24.9,0.4,0,0
Stasiun Klimatologi Bogor,10-01-2009,22.2,28.3,25,0.4,0,0
 Stasiun Klimatologi Bogor,17-03-2009,20.8,33.6,27,0.4,0,0
Stasiun Meteorologi Cilacap,09-01-2010,24,30.8,26.1,0.4,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,21-03-2010,26.3,31.8,28.5,0.4,0,0
Stasiun Klimatologi Mempawah,24-03-2009,22.8,31.6,26.2,0.4,0,0
Stasiun Meteorologi Cilacap,29-03-2009,25,31.9,27.5,0.4,0,0
Stasiun Klimatologi Bogor,02-03-2009,22.6,31.8,27.6,0.4,0,0
Stasiun Klimatologi Bogor,17-03-2009,20.8,33.6,27,0.4,0,0
Stasiun Meteorologi Maritim Tanjung Mas,30-01-2009,24.4,28.6,26.8,0.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,05-02-2009,23.6,28.5,25.8,0.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,16-01-2010,25,28,26.9,0.3,0,0
Stasiun Meteorologi Cilacap,13-03-2010,25.3,32.4,28.7,0.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,18-02-2010,26,31,28.4,0.3,0,0
Stasiun Klimatologi Bogor,15-02-2009,22.8,29.6,25.4,0.3,0,0
Stasiun Klimatologi Bogor,18-02-2009,23.2,31.6,25.9,0.3,0,0
Stasiun Meteorologi Cilacap,11-01-2009,23.3,32,27.3,0.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,26-03-2009,23.4,31.6,27.6,0.3,0,0
Stasiun Meteorologi Cilacap,07-03-2009,24,31.4,28.1,0.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,29-01-2009,25.1,30,27.2,0.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,11-02-2009,24.4,29.2,26.2,0.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,13-02-2009,24.4,30.4,26.8,0.2,0,0
Stasiun Meteorologi Cilacap,06-02-2010,24.7,29.4,26.5,0.2,0,0
Stasiun Klimatologi Bogor,30-01-2010,23.8,30,26.2,0.2,0,0
Stasiun Klimatologi Bogor,28-02-2010,24.3,33.5,26.9,0.2,0,0
Stasiun Klimatologi Mempawah,09-03-2010,24.2,32.3,26.5,0.2,0,0
 Stasiun Klimatologi Bogor,25-03-2009,21.4,32.4,26.2,0.2,0,0
Stasiun Klimatologi Bogor,05-01-2010,23.6,32.6,26,0.2,0,0
Stasiun Meteorologi Maritim Tanjung Mas,07-01-2009,24.8,30.6,28,0.2,0,0
Stasiun Meteorologi Nangapinoh,25-02-2009,23.1,31.1,26,0.2,0,0
Stasiun Klimatologi Mempawah,17-03-2009,24.3,29.6,25.4,0.2,0,0
Stasiun Klimatologi Bogor,25-03-2009,21.4,32.4,26.2,0.2,0,0
Stasiun Klimatologi Bogor,27-01-2009,22.2,29.5,25.5,0.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,06-02-2010,24.6,29,26,0.1,0,0
Stasiun Klimatologi Mempawah,21-02-2010,24.1,32.6,27.4,0.1,0,0
Stasiun Meteorologi Cilacap,04-01-2010,25.4,32.2,28.3,0.1,0,0
Stasiun Klimatologi Bogor,24-01-2009,23.4,31.2,25.7,0,0,0
Stasiun Klimatologi Bogor,11-02-2009,22.4,30.4,25.3,0,0,0
Stasiun Meteorologi Cilacap,08-02-2009,23.4,33.2,27.8,0,0,0
Stasiun Meteorologi Cilacap,09-02-2009,23.2,33.4,27.8,0,0,0
Stasiun Meteorologi Cilacap,10-02-2009,23,32,28.1,0,0,0
Stasiun Meteorologi Cilacap,12-02-2009,25.2,31.4,27.6,0,0,0
Stasiun Meteorologi Cilacap,13-02-2009,25.2,30.6,27.5,0,0,0
Stasiun Meteorologi Maritim Tanjung Mas,18-01-2009,23.8,29.6,27.1,0,0,0
Stasiun Meteorologi Maritim Tanjung Mas,22-01-2009,25,30.2,27.3,0,0,0
Stasiun Meteorologi Maritim Tanjung Mas,23-01-2009,26.6,30,27.8,0,0,0
Stasiun Meteorologi Maritim Tanjung Mas,24-01-2009,24.8,30,27.7,0,0,0
Stasiun Meteorologi Nangapinoh,14-01-2009,23.2,30.7,25.5,0,0,0
Stasiun Meteorologi Nangapinoh,20-01-2009,23.9,31,26.9,0,0,0
Stasiun Meteorologi Nangapinoh,24-01-2009,23.4,31.6,26.1,0,0,0
Stasiun Meteorologi Nangapinoh,29-01-2009,22.4,30.6,25.5,0,0,0
Stasiun Meteorologi Nangapinoh,02-02-2009,22.6,31.5,26.1,0,0,0
Stasiun Meteorologi Nangapinoh,04-02-2009,22.7,30,25.9,0,0,0
Stasiun Meteorologi Nangapinoh,06-02-2009,21.7,30.5,25.3,0,0,0
Stasiun Meteorologi Nangapinoh,07-02-2009,22.6,32.2,26.4,0,0,0
Stasiun Meteorologi Nangapinoh,08-02-2009,23.2,33,26.7,0,0,0
Stasiun Meteorologi Nangapinoh,10-02-2009,23.8,32,26.9,0,0,0
Stasiun Meteorologi Nangapinoh,11-02-2009,23.8,32.1,27.4,0,0,0
Stasiun Meteorologi Nangapinoh,12-02-2009,23.2,31.7,27.1,0,0,0
Stasiun Meteorologi Nangapinoh,13-02-2009,22.2,32.4,27.3,0,0,0
Stasiun Klimatologi Mempawah,13-01-2009,24.1,29.2,26.1,0,0,0
Stasiun Klimatologi Mempawah,14-01-2009,23.7,29.4,25.9,0,0,0
Stasiun Klimatologi Mempawah,19-01-2009,23.8,30,26.1,0,0,0
Stasiun Klimatologi Mempawah,20-01-2009,23.9,30.2,26.7,0,0,0
Stasiun Klimatologi Mempawah,21-01-2009,23.1,30.2,26.6,0,0,0
Stasiun Klimatologi Mempawah,22-01-2009,24.7,30,26.7,0,0,0
Stasiun Klimatologi Mempawah,23-01-2009,24.8,29.7,26.6,0,0,0
Stasiun Klimatologi Mempawah,26-01-2009,23.3,29.4,25.5,0,0,0
Stasiun Klimatologi Mempawah,04-02-2009,23.9,29.4,26,0,0,0
Stasiun Klimatologi Mempawah,06-02-2009,23,30.5,26.4,0,0,0
Stasiun Klimatologi Mempawah,07-02-2009,22.8,29.9,26,0,0,0
Stasiun Klimatologi Mempawah,08-02-2009,23.4,31.4,26.3,0,0,0
Stasiun Klimatologi Mempawah,09-02-2009,23,30.4,25.7,0,0,0
Stasiun Klimatologi Mempawah,10-02-2009,22.9,29.2,25.5,0,0,0
Stasiun Klimatologi Mempawah,11-02-2009,23.5,29.3,25.9,0,0,0
Stasiun Klimatologi Mempawah,12-02-2009,23.9,29.8,26.3,0,0,0
Stasiun Klimatologi Mempawah,13-02-2009,23.6,30.9,26.5,0,0,0
Stasiun Klimatologi Mempawah,13-01-2010,24.6,30.2,26.6,0,0,0
Stasiun Klimatologi Mempawah,16-01-2010,25.2,30.9,27.5,0,0,0
Stasiun Klimatologi Mempawah,17-01-2010,23.2,30.8,26.8,0,0,0
Stasiun Klimatologi Mempawah,21-01-2010,24.6,32.4,27.4,0,0,0
Stasiun Klimatologi Mempawah,22-01-2010,24.8,31.6,27.4,0,0,0
Stasiun Klimatologi Mempawah,25-01-2010,25.2,30.6,26.1,0,0,0
Stasiun Klimatologi Mempawah,30-01-2010,24.1,31,26.6,0,0,0
